"input","answer"
"hi","hello,how may i  help you"
"I have heart problem,please suggest me some warm-up exercise","Exercise: Light walking on treadmill or stationary bike \n Duration: 5-10 mins. \n Intensity: very light,just to get the heart rate up slightly. \n Weights:None."
"hello","hello, how may i help you"
"hey","hey, how may i help you"
"diet","what is your age and diet veg or nonveg"
"18 veg","BREAKFAST:\n  Oats Porridge with Nuts and Seeds: \n 1 cup oats cooked in almond milk or regular milk \n 1 tablespoon chia seeds or flaxseeds \n 10-15 almonds or walnuts \n 1 tablespoon honey or maple syrup \n 1 Glass of Fresh Orange Juice or 1 Banana.\n \n \n  LUNCH: \n  Quinoa and Chickpea Salad:\n 1 cup cooked quinoa \n ½ cup boiled chickpeas \n Chopped vegetables: cucumber tomatoes bell peppers onions \n Topped with olive oil and lemon juice \n Greek Yogurt \n 1 Small Bowl of Soup \n \n \n DINNER:\n Grilled Tofu or Paneer with Steamed Veggies:\n 100g grilled tofu or paneer \n 1 cup steamed vegetables (broccoli carrots zucchini) \n 1 small bowl of brown rice or quinoa \n 1 Cup Lentil Soup (dal)"
"19 veg","BREAKFAST: \n Vegetable Poha: \n 1 cup poha (flattened rice) with vegetables like peas carrots and bell peppers \n Topped with peanuts or roasted cashews \n Greek Yogurt (150g) with fruit (berries or apple).\n \n \n LUNCH: \n Brown Rice with Mixed Vegetables & Paneer (or Tofu for vegans):\n 1 cup brown rice\n 100g paneer or tofu \n Stir-fried vegetables (spinach broccoli carrots) \n Cucumber Salad with olive oil and vinegar dressing. \n \n \n DINNER: \n Sweet Potato & Black Bean Wrap:\n Whole wheat tortilla wrap with mashed sweet potatoes black beans lettuce and salsa \n Topped with Greek yogurt or guacamole \n 1 Small Bowl of Salad"
"20 veg","BREAKFAST: \n Avocado Toast: \n 2 slices of whole-grain bread with mashed avocado salt pepper and a squeeze of lemon \n Topped with pumpkin seeds or hemp seeds for protein \n \n \n LUNCH: \n Vegetable and Lentil Stir Fry with Whole-Wheat Chapati: \n 2 whole-wheat chapatis \n 1 cup mixed vegetables and lentils (cooked in spices like cumin and turmeric) \n 1 Small Bowl of Raita (yogurt mixed with cucumber or carrot).\n \n \n DINNER:\n Vegetable Pasta: \n Whole wheat pasta with tomato sauce mixed vegetables (bell pepper zucchini spinach) \n Topped with parmesan or nutritional yeast for vegans \n Side of Grilled Mushrooms or Roasted Vegetables
"21 veg","BREAKFAST: \n  Oats Porridge with Nuts and Seeds: \n 1 cup oats cooked in almond milk or regular milk \n 1 tablespoon chia seeds or flaxseeds \n 10-15 almonds or walnuts \n 1 tablespoon honey or maple syrup \n 1 Glass of Fresh Orange Juice or 1 Banana.\n \n \n  LUNCH: \n  Quinoa and Chickpea Salad:\n 1 cup cooked quinoa \n ½ cup boiled chickpeas \n Chopped vegetables: cucumber tomatoes bell peppers onions \n Topped with olive oil and lemon juice \n Greek Yogurt \n 1 Small Bowl of Soup \n \n \n DINNER:\n Grilled Tofu or Paneer with Steamed Veggies:\n 100g grilled tofu or paneer \n 1 cup steamed vegetables (broccoli carrots zucchini) \n 1 small bowl of brown rice or quinoa \n 1 Cup Lentil Soup (dal)"
"22 veg","BREAKFAST: \n 1 cup Oats with almond milk \n 1 tablespoon Chia seedsn \n 1 scoop Plant-based protein powder \n 1 Banana \n 1 handful Almonds.\n \n \n LUNCH: \n 1 cup Brown rice or Quinoa \n 1 cup Mixed vegetables (spinach broccoli carrots) \n 1 cup Chickpea curry or tofu \n 1 small bowl Cucumber and tomato salad.\n \n \n DINNER: \n 1 bowl Lentil soup \n 1 cup Grilled tofu or tempeh \n 1 small baked Sweet potato \n 1 cup Steamed broccoli"
"23 veg","BREAKFAST: \n 2 Whole wheat toasts \n 1 Avocado (mashed with seasoning) \n 1 boiled Egg (optional if ovo-vegetarian) \n 1 cup Greek yogurt or plant-based yogurt (for extra protein) \n 1 Apple. \n \n \n LUNCH: \n 1 bowl Couscous with roasted vegetables (zucchini bell peppers) \n 1 cup Boiled chickpeas \n 1 tablespoon Olive oil for dressing \n 1 bowl Mixed greens salad with seeds (pumpkin or sunflower seeds) \n \n \n DINNER: \n 1 cup Whole wheat pasta or zucchini noodles \n 1/2 cup Tomato-based sauce (homemade) \n 1/2 cup Grilled mushrooms and bell peppers \n 1 handful Spinach leaves mixed in \n 1 tablespoon Nutritional yeast for a cheesy flavor"
